ID,mc_status,type,condition,test_choice,memory_check
1,0,0,A,1,1
2,0,0,A,1,1
3,0,0,A,1,1
4,0,0,A,1,1
5,0,0,A,1,1
6,0,0,B,1,1
7,0,0,B,1,1
8,0,0,B,1,1
9,0,0,B,1,1
10,0,0,B,1,1
11,0,0,C,1,1
12,0,0,C,1,1
13,0,0,C,1,1
14,0,0,C,1,1
15,0,0,C,1,1
16,0,0,D,1,1
17,0,0,D,1,1
18,0,0,D,1,1
19,0,0,D,1,1
20,0,0,D,1,1
21,1,0,A,1,0
22,1,0,A,0,0
23,1,0,A,1,0
24,1,0,A,1,0
25,1,0,A,1,0
26,1,0,B,1,0
27,1,0,B,0,0
28,1,0,B,0,0
29,1,0,B,0,0
30,1,0,B,1,0
31,1,0,C,0,0
32,1,0,C,0,0
33,1,0,C,0,0
34,1,0,C,0,0
35,1,0,C,1,0
36,1,0,D,0,0
37,1,0,D,0,0
38,1,0,D,1,0
39,1,0,D,1,0
40,1,0,D,0,0
41,2,1,A,1,0
42,2,1,D,1,0
43,2,1,D,1,0
44,2,1,A,0,1
45,2,1,B,1,1
46,2,1,D,1,0
47,2,1,A,1,1
48,2,1,A,0,1
49,2,1,B,0,0
50,2,1,B,1,1
51,2,1,C,0,0
52,2,1,C,0,1
53,2,1,D,1,1
54,2,1,C,1,1
55,2,1,A,0,1
56,2,1,D,0,1
57,2,1,D,0,0
58,2,1,B,1,1
59,2,1,C,1,1
60,2,1,C,0,0
61,2,1,A,1,1
62,2,1,A,0,0
63,2,1,B,1,0
64,2,1,A,1,1
65,2,1,C,1,0
66,2,1,D,0,1
67,2,1,B,1,0
68,2,1,B,1,0
69,2,1,B,1,0
70,2,1,C,0,1
71,2,1,C,1,1
72,2,1,B,0,0
73,3,1,C,1,1
74,3,1,D,1,1
75,3,1,C,1,1
76,3,1,C,1,1
77,3,1,C,1,1
78,3,1,D,1,1
79,3,1,D,1,1
80,3,1,D,0,1
81,3,1,B,1,1
82,3,1,B,1,1
83,3,1,B,0,0
84,3,1,A,1,1
85,3,1,A,1,1
86,3,1,B,1,1
87,3,1,D,1,1
88,3,1,D,1,0
89,3,1,A,1,1
90,3,1,C,1,1
91,3,1,A,0,1
92,3,1,A,1,1
93,3,1,A,1,1
94,3,1,C,0,1
95,3,1,D,1,1
96,3,1,A,0,1
97,3,1,B,0,1
98,3,1,D,1,1
99,3,1,C,1,1
100,3,1,B,0,1
101,3,1,C,0,1
102,3,1,B,1,1
103,3,1,D,0,1
104,3,1,A,1,1
