ID,age,sex,condition,effective_object_demonstrated_first,feature_appended_to_correct_object,correct_test_object_location,test_choice,memory_check
1,3,F,C,1,0,0,0,0
2,3,M,A,1,1,1,0,1
3,3,F,A,1,1,1,1,1
4,3,F,D,0,1,0,1,1
5,3,F,D,0,1,1,1,1
6,3,M,D,0,1,1,1,1
7,3,F,D,0,1,1,0,1
8,2,M,D,0,1,0,0,0
9,3,F,D,0,1,1,0,0
10,3,F,D,0,1,1,1,1
11,2,F,D,0,1,1,1,0
12,2,M,C,1,0,0,1,1
13,2,F,C,1,0,1,1,0
14,2,M,C,1,0,0,0,0
15,2,M,C,1,0,1,0,1
16,2,M,C,1,0,0,1,1
17,3,F,C,1,0,0,1,1
18,3,F,C,1,0,0,0,1
19,2,F,A,1,1,1,1,1
20,2,M,C,1,0,0,1,1
21,3,M,A,1,1,1,0,1
22,3,F,A,1,1,1,1,1
23,2,M,A,1,1,1,1,1
24,2,F,A,1,1,1,0,1
25,2,M,A,1,1,1,0,1
26,2,M,A,1,1,1,0,0
27,2,F,A,1,1,1,0,1
28,3,F,B,1,0,1,1,1
29,3,F,B,1,0,1,1,1
30,2,M,B,1,0,1,0,0
31,2,M,B,1,0,1,1,0
32,2,F,B,1,0,1,1,1
33,2,M,B,1,0,1,1,0
34,2,M,B,1,0,1,1,0
35,2,F,B,1,0,1,1,1
36,3,F,B,1,0,1,0,1
37,3,F,B,1,0,1,0,0
38,2,M,B,1,0,1,0,0
39,2,F,B,1,0,1,1,1
40,2,F,B,1,0,1,1,0
41,2,F,A,1,1,1,1,0
42,2,M,A,1,1,1,1,1
43,3,F,C,1,0,1,0,1
44,2,M,C,1,0,1,0,0
45,2,M,C,1,0,1,0,1
46,2,M,D,0,1,0,1,0
47,3,F,D,0,1,0,0,1
48,3,F,B,1,0,1,0,1
49,3,F,D,0,1,0,1,1
50,2,F,D,0,1,0,1,1
51,2,F,D,0,1,0,0,1
52,2,F,D,0,1,0,0,1
53,3,M,D,0,1,0,1,0
54,3,M,C,1,0,0,1,1
55,3,M,D,0,1,0,1,1
56,2,F,D,0,1,0,1,0
57,3,M,C,1,0,0,1,1
58,3,F,A,1,1,1,1,1
59,3,M,A,1,1,1,1,1
60,3,F,B,1,0,1,1,1
